新闻News,#genre#
TVB无线新闻,http://127.0.0.1:9560/03tvbnews264/index.m3u8?v.channelid=1941&v.type=1&ips=15.235.117.85:32342
TVB PLUS,http://127.0.0.1:9560/04tvbj5264/index.m3u8?v.channelid=1942&v.type=1&ips=38.58.181.230:19690
NOWTV新闻,http://127.0.0.1:9560/16nownews/index.m3u8?v.channelid=1944&v.type=1&ips=15.235.117.85:32342
NOWTV财经,http://127.0.0.1:9560/18nowbusi/index.m3u8?v.channelid=1945&v.type=1&ips=38.58.181.230:19690
香港HOY TV资讯,http://127.0.0.1:9560/hoytvzx/index.m3u8?v.channelid=1946&v.type=1&ips=38.58.181.230:19690
凤凰香港,http://127.0.0.1:9560/09fhhk/index.m3u8?v.channelid=1947&v.type=1&ips=15.235.117.85:19970
凤凰资讯,http://144.76.172.243:9560/07fhzx/index.m3u8?v.channelid=1948&v.type=1&ips=15.235.117.85:32342
香港电台RTHK31,http://127.0.0.1:9560/10rthk31/index.m3u8?v.channelid=1949&v.type=1&ips=15.235.117.85:19970
香港电台RTHK32,http://127.0.0.1:9560/11rthk32/index.m3u8?v.channelid=1950&v.type=1&ips=15.235.117.85:19970
TVB娱乐新闻,http://127.0.0.1:9560/14tvbenews/index.m3u8?v.channelid=1951&v.type=1&ips=15.235.117.85:19970
中天新闻,http://127.0.0.1:9560/ctitvnews/index.m3u8?v.channelid=1952&v.type=1&ips=15.235.117.85:32342
TVBS新闻,http://127.0.0.1:9560/TVBSnews/index.m3u8?v.channelid=1953&v.type=1&ips=15.235.117.85:32342
东森新闻,http://173.234.25.90:9560/ettvnews/index.m3u8?v.channelid=1954&v.type=1&ips=15.235.117.85:32342
东森财经新闻,http://173.234.25.90:9560/ettvbusinews/index.m3u8?v.channelid=1955&v.type=1&ips=69.30.211.114:9590
民视新闻,http://127.0.0.1:9560/msxw/index.m3u8?v.channelid=1956&v.type=1&ips=108.181.2.193:22263
三立新闻,http://173.234.25.90:9560/shanlinews/index.m3u8?v.channelid=1957&v.type=1&ips=15.235.117.85:32342
中视新闻,http://173.234.25.90:9560/zsnews/index.m3u8?v.channelid=1958&v.type=1&ips=69.30.211.114:9590
镜新闻,http://127.0.0.1:9560/jinnews/index.m3u8?v.channelid=1959&v.type=1&ips=38.75.136.226:18344
台视新闻,http://127.0.0.1:9560/tsnews/index.m3u8?v.channelid=1960&v.type=1&ips=108.181.2.193:22263
台视财经,http://127.0.0.1:9560/tsbusinews/index.m3u8?v.channelid=1961&v.type=1&ips=108.181.2.193:22263
三立i新闻,http://173.234.25.90:9560/slinews/index.m3u8?v.channelid=1962&v.type=1&ips=108.181.2.193:22263
非凡新闻,http://173.234.25.90:9560/feifannews/index.m3u8?v.channelid=1963&v.type=1&ips=38.75.136.226:18344
寰宇新闻,http://127.0.0.1:9560/huanynews/index.m3u8?v.channelid=1964&v.type=1&ips=15.235.117.85:32342
寰宇新闻台湾,http://127.0.0.1:9560/huanynewstw/index.m3u8?v.channelid=1965&v.type=1&ips=108.181.2.193:22263
壹电视新闻,http://127.0.0.1:9560/onenews/index.m3u8?v.channelid=1966&v.type=1&ips=108.181.2.193:22263
年代新闻,http://127.0.0.1:9560/niandainews/index.m3u8?v.channelid=1967&v.type=1&ips=15.235.117.85:32342
CCTV 13 新闻,http://45.88.151.66:9560/13cctv13/index.m3u8?v.channelid=1968&v.type=1&ips=51.79.98.142:19884
加拿大600新闻,http://127.0.0.1:9560/600news/index.m3u8?v.channelid=1969&v.type=1&ips=51.79.98.142:19884
CNA(SG),http://64.74.167.146:9560/CAN/index.m3u8?v.channelid=1970&v.type=1&ips=144.217.67.200:19591
CNN US,http://51.161.116.93:9560/CNN/index.m3u8?v.channelid=1971&v.type=1&ips=148.113.176.47:19698
CNN International,http://51.161.87.108:9560/02cnni/index.m3u8?v.channelid=1972&v.type=1&ips=51.79.72.168:29593
Fox News,http://51.161.87.108:9560/03foxnews/index.m3u8?v.channelid=1973&v.type=1&ips=51.79.72.168:29593
MSNBC,http://51.161.87.108:9560/04msnbc/index.m3u8?v.channelid=1974&v.type=1&ips=51.79.72.168:29593
Newsmax TV,http://51.161.87.108:9560/05newsmax/index.m3u8?v.channelid=1975&v.type=1&ips=51.79.72.168:29593
One American News,http://51.161.87.108:9560/06oan/index.m3u8?v.channelid=1976&v.type=1&ips=51.79.72.168:29593
BBC World News,http://51.161.87.108:9560/07bbc/index.m3u8?v.channelid=1977&v.type=1&ips=51.79.72.168:29593
